member_id,age_band,region,plan_type,join_date,digital_affinity_score,device_type,baseline_propensity,treatment_eligible,impressions_post8w,reward_adopted,spotify_user_latent,adopt_week_id
1,25-34,Mpumalanga,Executive,2025-06-18,71,Phone,-1.97,0,16,0,1,
2,25-34,Eastern Cape,Classic,2023-07-21,53,Mixed,-0.724,1,8,0,1,
3,25-34,Gauteng,Executive,2025-10-10,53,Mixed,1.479,1,10,0,1,
4,25-34,Eastern Cape,Essential,2021-11-30,74,Phone,-0.038,0,16,0,1,
5,55-64,Free State,Plus,2022-10-11,49,Wearable,0.93,1,14,0,1,
6,45-54,Gauteng,Essential,2024-10-09,14,Mixed,-0.704,0,0,0,1,
7,35-44,KwaZulu-Natal,Plus,2022-04-15,44,Phone,-0.925,1,8,0,1,
8,25-34,Western Cape,Plus,2020-04-25,29,Wearable,0.156,0,1,0,0,
9,35-44,Western Cape,Classic,2025-04-15,51,Phone,-0.532,0,19,0,0,
10,18-24,Gauteng,Classic,2022-08-09,15,Phone,1.242,1,6,0,0,
11,55-64,Western Cape,Plus,2024-11-24,32,GymScanner,3.0,1,19,0,0,
12,18-24,Eastern Cape,Classic,2021-05-19,58,Phone,1.809,1,13,0,1,
13,35-44,Gauteng,Classic,2025-03-03,67,Phone,0.585,1,11,0,1,
14,18-24,KwaZulu-Natal,Classic,2023-09-11,45,Wearable,-3.0,0,28,0,1,
15,35-44,KwaZulu-Natal,Classic,2022-06-14,57,Phone,0.902,0,23,0,0,
16,35-44,KwaZulu-Natal,Classic,2021-03-11,16,Mixed,1.454,0,8,0,0,
17,25-34,KwaZulu-Natal,Essential,2020-12-05,49,Phone,-0.243,1,9,1,1,25.0
18,55-64,Gauteng,Essential,2020-11-05,68,Phone,0.363,0,0,0,0,
19,35-44,Eastern Cape,Classic,2023-03-17,57,Wearable,0.696,0,8,0,0,
20,65+,KwaZulu-Natal,Executive,2025-01-23,50,Mixed,-0.668,1,10,0,0,
21,35-44,North West,Essential,2024-05-07,32,GymScanner,-0.516,1,6,1,0,25.0
22,25-34,Mpumalanga,Executive,2022-12-22,28,GymScanner,0.179,1,6,1,0,26.0
23,25-34,Free State,Essential,2021-10-02,37,Phone,0.838,1,10,1,1,26.0
24,25-34,North West,Essential,2020-10-17,62,Phone,-0.902,0,18,0,1,
25,45-54,North West,Essential,2024-10-04,26,GymScanner,-1.217,1,17,0,0,
26,35-44,Free State,Essential,2023-05-15,38,Mixed,-0.817,1,2,0,0,
27,35-44,KwaZulu-Natal,Essential,2021-06-26,69,Wearable,0.318,1,17,0,1,
28,35-44,Mpumalanga,Essential,2022-02-24,43,Mixed,-1.382,1,0,0,1,
29,18-24,Mpumalanga,Essential,2022-01-11,36,Wearable,0.677,0,4,0,0,
30,55-64,Gauteng,Plus,2025-07-21,23,Mixed,1.261,0,0,0,0,
31,45-54,Mpumalanga,Classic,2024-09-07,34,Phone,0.867,1,6,1,1,25.0
32,55-64,Northern Cape,Executive,2023-11-22,47,Mixed,-1.268,0,22,0,0,
33,25-34,Gauteng,Plus,2025-09-05,55,Wearable,0.988,0,0,0,1,
34,45-54,Western Cape,Plus,2025-01-18,29,Phone,-0.628,0,14,0,0,
35,35-44,Free State,Classic,2020-07-14,66,Wearable,-0.37,0,9,0,0,
36,25-34,Gauteng,Essential,2020-05-28,32,GymScanner,-0.398,0,12,0,1,
37,25-34,KwaZulu-Natal,Essential,2020-04-07,42,Phone,0.187,0,5,0,1,
38,65+,Free State,Essential,2024-05-14,45,GymScanner,1.521,1,8,0,0,
39,65+,KwaZulu-Natal,Essential,2023-03-31,53,Mixed,-0.93,0,9,0,1,
40,55-64,North West,Plus,2022-12-11,49,Wearable,0.26,0,10,0,0,
41,25-34,Limpopo,Classic,2023-11-20,0,Wearable,-1.527,1,2,0,1,
42,25-34,KwaZulu-Natal,Essential,2023-11-14,73,Phone,0.236,1,22,1,1,26.0
43,25-34,Gauteng,Essential,2022-03-03,55,Phone,0.418,0,9,0,0,
44,35-44,Mpumalanga,Classic,2024-07-16,66,GymScanner,1.099,1,16,0,0,
45,25-34,KwaZulu-Natal,Plus,2024-11-23,64,Wearable,-1.068,1,12,0,1,
46,45-54,KwaZulu-Natal,Essential,2020-08-23,60,Phone,-0.467,1,21,1,0,25.0
47,25-34,KwaZulu-Natal,Classic,2021-01-18,59,Wearable,-1.812,0,7,0,1,
48,45-54,Western Cape,Classic,2025-07-18,25,Wearable,-2.038,1,0,0,0,
49,45-54,Limpopo,Plus,2023-03-05,41,GymScanner,0.455,1,0,0,1,
50,25-34,Limpopo,Essential,2021-03-27,27,Wearable,-0.44,1,11,1,1,26.0
51,55-64,Eastern Cape,Essential,2023-12-10,77,Wearable,1.392,1,0,1,1,26.0
52,25-34,North West,Plus,2025-02-16,41,Wearable,-0.753,1,0,1,0,26.0
53,35-44,Mpumalanga,Classic,2023-05-04,52,Phone,0.496,1,15,0,0,
54,45-54,Gauteng,Essential,2020-08-13,30,Wearable,-0.762,1,4,0,0,
55,55-64,Gauteng,Classic,2020-10-04,50,Mixed,1.569,0,3,0,1,
56,35-44,Gauteng,Classic,2022-08-01,64,Wearable,-0.484,0,10,0,0,
57,25-34,Limpopo,Classic,2024-04-26,49,Wearable,0.559,1,19,1,1,26.0
58,45-54,Free State,Plus,2024-09-17,34,Mixed,0.581,1,2,0,0,
59,35-44,Free State,Classic,2021-06-21,59,GymScanner,-0.109,0,10,0,0,
60,25-34,Gauteng,Essential,2022-02-13,72,Wearable,1.037,0,7,0,0,
61,45-54,Limpopo,Essential,2022-04-05,83,Mixed,0.642,0,26,0,1,
62,35-44,KwaZulu-Natal,Plus,2020-12-09,66,Wearable,0.292,1,14,0,0,
63,25-34,Western Cape,Essential,2020-05-25,62,Mixed,0.593,0,23,0,0,
64,45-54,Western Cape,Plus,2021-06-05,51,Wearable,-0.156,1,5,1,0,26.0
65,18-24,Eastern Cape,Plus,2023-08-05,52,Wearable,1.392,1,3,1,0,26.0
66,25-34,Gauteng,Classic,2020-05-16,46,Phone,-0.655,0,0,0,0,
67,55-64,KwaZulu-Natal,Plus,2022-02-05,19,Wearable,-0.611,0,5,0,1,
68,35-44,Free State,Classic,2021-08-22,11,Wearable,0.446,1,13,0,0,
69,35-44,Gauteng,Classic,2023-06-01,51,Mixed,0.411,1,21,0,1,
70,55-64,North West,Essential,2020-06-19,2,Mixed,-0.138,1,0,0,0,
71,55-64,Free State,Plus,2023-05-09,13,GymScanner,-0.594,1,0,0,1,
72,25-34,KwaZulu-Natal,Classic,2023-12-01,38,GymScanner,0.582,1,11,0,0,
73,35-44,Mpumalanga,Classic,2025-04-02,53,Mixed,-0.786,0,4,0,0,
74,18-24,KwaZulu-Natal,Essential,2022-12-05,39,Mixed,-1.49,0,15,0,0,
75,25-34,KwaZulu-Natal,Executive,2024-05-25,8,Mixed,-1.435,0,4,0,1,
76,45-54,Gauteng,Essential,2024-09-30,49,Wearable,-1.21,0,17,0,0,
77,55-64,Northern Cape,Essential,2020-03-22,26,Phone,-0.508,0,0,0,1,
78,25-34,Eastern Cape,Essential,2022-03-08,68,Phone,1.216,0,24,0,1,
79,35-44,Free State,Plus,2023-04-25,33,Mixed,-1.209,0,0,0,0,
80,25-34,KwaZulu-Natal,Plus,2024-05-10,34,Wearable,0.927,1,7,1,0,25.0
81,18-24,North West,Classic,2025-07-20,8,Wearable,-0.195,0,0,0,0,
82,35-44,Mpumalanga,Essential,2020-12-08,32,Wearable,-0.882,1,7,0,0,
83,18-24,Free State,Plus,2022-10-14,50,GymScanner,0.296,1,8,1,1,26.0
84,45-54,Gauteng,Plus,2025-02-01,73,Phone,-0.369,0,0,0,0,
85,35-44,North West,Classic,2025-02-18,48,Mixed,-1.129,0,2,0,1,
86,35-44,North West,Essential,2024-09-18,59,Wearable,1.786,1,10,0,0,
87,25-34,KwaZulu-Natal,Classic,2020-11-22,61,Mixed,1.918,0,16,0,1,
88,45-54,Eastern Cape,Essential,2023-08-18,29,Phone,-1.591,0,0,0,1,
89,45-54,Gauteng,Executive,2020-09-02,87,Wearable,1.18,1,15,1,0,26.0
90,65+,KwaZulu-Natal,Essential,2022-02-07,38,Mixed,0.939,0,0,0,1,
91,55-64,Mpumalanga,Plus,2024-01-15,76,Phone,-0.126,1,9,1,1,25.0
92,25-34,Gauteng,Executive,2023-03-11,100,Phone,1.04,0,7,0,0,
93,18-24,Western Cape,Classic,2025-08-30,19,Wearable,-0.924,0,0,0,0,
94,45-54,Gauteng,Executive,2021-08-20,22,Wearable,0.076,0,2,0,0,
95,35-44,Eastern Cape,Essential,2021-09-29,37,Mixed,-0.539,1,0,0,0,
96,25-34,Western Cape,Classic,2021-03-19,43,Mixed,-0.103,1,21,0,0,
97,25-34,North West,Classic,2025-09-19,71,Mixed,-1.582,1,14,1,0,26.0
98,25-34,Gauteng,Classic,2021-12-13,47,Phone,1.015,0,9,0,1,
99,45-54,KwaZulu-Natal,Essential,2022-06-02,16,Wearable,-0.075,0,5,0,1,
100,25-34,Gauteng,Executive,2024-08-11,70,Wearable,-0.697,0,19,0,1,
