member_id,week_id,channel,impressions,clicks
9,1,app,5,1
10,1,email,5,0
11,1,app,4,0
15,1,app,9,1
27,1,app,6,0
29,1,email,10,0
32,1,email,5,0
43,1,sms,10,0
52,1,app,1,0
53,1,email,3,0
62,1,sms,2,0
69,1,app,10,1
77,1,email,3,1
83,1,app,1,0
84,1,app,7,0
85,1,social,6,1
98,1,app,2,0
100,1,email,2,0
103,1,app,9,0
104,1,email,3,0
107,1,app,7,0
108,1,email,8,1
111,1,social,5,0
116,1,app,2,0
117,1,app,2,0
119,1,email,6,0
123,1,app,4,0
127,1,sms,3,0
135,1,app,8,0
138,1,email,5,0
146,1,email,8,0
147,1,email,8,0
157,1,sms,3,0
158,1,app,2,0
160,1,app,2,0
164,1,email,5,1
165,1,app,6,0
166,1,app,5,0
174,1,app,8,2
175,1,sms,6,1
176,1,app,5,1
183,1,app,1,0
199,1,app,6,0
200,1,app,1,0
202,1,app,1,0
204,1,app,8,0
206,1,app,10,0
208,1,email,3,0
216,1,app,4,0
232,1,social,6,0
233,1,app,4,0
239,1,app,10,1
244,1,app,11,0
250,1,email,3,0
255,1,email,9,0
258,1,app,3,0
260,1,app,4,0
267,1,social,11,1
270,1,email,8,0
271,1,app,6,0
274,1,email,3,0
275,1,app,5,0
278,1,email,3,0
284,1,social,7,0
288,1,app,2,0
311,1,email,11,1
312,1,app,4,0
319,1,app,4,0
321,1,app,11,1
322,1,app,8,3
328,1,email,8,0
329,1,app,8,1
330,1,app,6,0
336,1,email,5,0
337,1,app,7,2
339,1,app,2,0
344,1,app,7,0
348,1,email,4,0
351,1,app,11,0
361,1,email,1,0
369,1,email,6,0
374,1,app,6,0
389,1,social,7,1
390,1,app,5,1
395,1,email,4,1
396,1,email,6,0
406,1,email,2,0
412,1,social,5,0
414,1,app,8,0
415,1,email,2,0
427,1,sms,7,1
430,1,app,6,0
431,1,app,5,0
433,1,email,3,1
436,1,app,8,1
444,1,email,10,0
445,1,app,8,1
456,1,app,11,1
462,1,app,8,0
464,1,email,3,1
466,1,email,5,0
468,1,social,5,1
472,1,social,3,1
473,1,app,2,0
480,1,app,3,0
486,1,email,9,1
489,1,app,10,1
494,1,sms,10,0
500,1,app,9,0
501,1,app,10,1
502,1,email,7,0
510,1,app,11,1
514,1,app,2,0
517,1,app,3,0
528,1,app,7,0
529,1,app,7,0
530,1,sms,5,0
534,1,sms,11,0
545,1,sms,7,0
547,1,app,3,0
548,1,sms,3,1
570,1,email,4,0
573,1,app,2,1
576,1,email,6,0
579,1,app,6,0
591,1,email,9,0
603,1,email,3,1
607,1,app,5,2
612,1,social,4,1
616,1,app,8,0
627,1,app,5,0
634,1,social,10,0
638,1,email,10,0
639,1,app,5,0
641,1,app,6,0
644,1,app,10,0
651,1,email,4,0
663,1,app,7,0
665,1,email,1,0
672,1,email,8,0
675,1,app,3,0
678,1,social,10,1
683,1,app,10,2
687,1,app,5,0
689,1,sms,10,0
691,1,app,11,0
694,1,app,2,1
695,1,app,1,0
705,1,app,9,1
715,1,email,1,0
716,1,email,11,0
717,1,app,11,2
718,1,sms,4,1
738,1,app,8,0
739,1,email,3,1
743,1,email,8,0
752,1,email,4,0
756,1,app,9,0
760,1,sms,1,0
764,1,app,11,1
766,1,social,6,1
767,1,app,5,1
775,1,app,10,1
782,1,app,6,1
789,1,app,5,0
795,1,app,9,2
798,1,app,4,0
803,1,app,9,2
821,1,app,10,1
827,1,social,10,0
831,1,sms,9,2
836,1,app,9,0
839,1,app,4,0
840,1,app,4,0
849,1,app,5,0
850,1,email,10,0
851,1,app,5,0
852,1,app,8,0
865,1,social,3,1
866,1,email,7,0
867,1,social,8,0
880,1,app,2,0
886,1,sms,6,0
896,1,app,5,0
899,1,app,8,2
903,1,email,8,0
906,1,email,8,1
911,1,app,5,0
912,1,social,9,2
918,1,app,2,0
924,1,app,6,0
938,1,app,10,1
947,1,email,7,1
952,1,email,7,0
954,1,app,5,1
956,1,email,4,0
958,1,app,10,1
961,1,sms,1,0
963,1,app,5,0
969,1,app,8,1
971,1,email,3,0
979,1,email,3,1
980,1,app,2,0
987,1,email,9,2
994,1,email,5,1
997,1,app,11,0
998,1,email,9,0
1000,1,sms,1,0
1003,1,email,10,2
1005,1,email,3,0
1006,1,app,10,0
1014,1,email,1,0
1018,1,sms,8,0
